word,length,fre,pmi,entropy
祥子,2,0.006711409395973154,4.211406955169149,4.783833301830128
可是,2,0.0035581669840011715,3.3850785026684496,4.497477135700041
虎妞,2,0.0015335441238552266,6.2370073343348045,4.281858201990847
没有,2,0.0028172411713520175,3.5821025084634677,4.2388273227260616
大家,2,0.0013612357953321674,4.257081325744742,4.011873463553341
曹先生,3,0.0009390803904506725,5.792038644787069,4.01132791107635
出来,2,0.0012492353817921788,3.0318444256969412,3.926414409834507
什么,2,0.003506474485444254,4.914370824986892,3.9143527828737605
而且,2,0.0006720024812399307,5.329087699766988,3.873226476353823
不能,2,0.0017661603673613563,3.001249353673351,3.862459469633583
因为,2,0.000835695393336837,5.567015504486945,3.850914964906221
这么,2,0.0015766212059859913,3.183634508708674,3.793838582237576
小福子,3,0.000835695393336837,4.213905729977086,3.7618599180521763
已经,2,0.0007495412290753074,5.7907789705827275,3.7554141579603684
忽然,2,0.0007064641469445425,5.674862092255688,3.6920562926448977
老头子,3,0.0007581566455014603,4.168899551469226,3.690555126716356
自己,2,0.004273246547371867,5.098852823806001,3.6798354448276824
回来,2,0.0006892333140922366,3.5193557968426816,3.654669721719264
虽然,2,0.0007495412290753074,5.886727803854976,3.617039150251068
可以,2,0.0011027733025475786,4.029919663343414,3.611201976178295
仿佛,2,0.0008012337276322251,7.097385171098919,3.606430671006945
起来,2,0.0015076978745767677,3.815982124916695,3.6025787435431424
不管,2,0.00042215540488149493,3.0421854696152417,3.5768674809169037
刘四爷,3,0.0006116945662568601,6.625828208893732,3.5741277252167576
好象,2,0.0004910787362907187,3.427457527569605,3.5139516560618014
似乎,2,0.0010166191382860491,5.58466503751291,3.491260381413447
咱们,2,0.0005169249855691775,5.1774747995922,3.4759904180879304
骆驼,2,0.0007753874783537662,7.140048009112772,3.467989480000272
别人,2,0.0005083095691430246,3.4038686589364544,3.460409417982588
身上,2,0.000620309982683013,3.6119982949057663,3.4394224299684533
过去,2,0.0006720024812399307,3.034487288313497,3.418386070528657
那些,2,0.00045661707058610677,3.0049562797854845,3.3879263270429676
现在,2,0.000827079976910684,4.538049568708714,3.385883758025727
一切,2,0.0007753874783537662,3.8239689888372097,3.3838900516614303
心中,2,0.0013526203789060143,4.390160697225134,3.357712432060277
老程,2,0.00043938623773380085,5.463956989793676,3.351089855039047
所以,2,0.0005083095691430246,5.032034507536969,3.322539653634358
怎样,2,0.0007495412290753074,4.953550526623486,3.2887174845717952
太太,2,0.0009476958068768254,5.057459357071322,3.2713181137406737
怎么,2,0.00045661707058610677,3.5567865697494323,3.270477768709738
但是,2,0.00043938623773380085,3.5659641801885105,3.2681858442076424
那么,2,0.0014818516252983087,3.512214559566534,3.2666589530171093
有时候,3,0.0003876937391768831,3.01602311206447,3.2631702137003136
事情,2,0.00036184748989842423,4.843814231523758,3.258745349959158
拉车,2,0.0008787724754676017,3.606756047961054,3.225656608881233
高妈,2,0.0004307708213076479,5.821025039012772,3.2188758248682
放在,2,0.00031877040776765944,3.2632372989874794,3.1987763458247986
想起,2,0.0005772329005522482,3.563450614946277,3.190009102828816
马上,2,0.00039630915560303606,3.6946018234409763,3.1862869792519812
街上,2,0.00039630915560303606,3.8092647317611164,3.176416834149317
进去,2,0.0003446166570461183,3.4697950990042408,3.1757834838076997
这样,2,0.0009046187247460606,3.529256457796368,3.166668879162574
一会儿,3,0.00039630915560303606,3.563228612446333,3.164821155529491
忘了,2,0.0003446166570461183,3.4051748343686383,3.162702280213586
脸上,2,0.0003704629063245772,3.5471178349719072,3.160189725361701
心里,2,0.000404924572029189,3.0064315461507842,3.1552393040773405
不敢,2,0.0009046187247460606,3.4705523420100906,3.15515166156356
痛快,2,0.00045661707058610677,6.104837936046577,3.1343806483030927
那样,2,0.00037907832275073015,3.050057468442934,3.090426497295664
女儿,2,0.0003015395749153535,3.6500054058720597,3.0877778978068466
二强子,3,0.0002843087420630476,4.057108145481109,3.086715272448053
应当,2,0.00033600124061996536,5.805343748876757,3.0679922598361236
今天,2,0.00023261624350612986,4.8232743125499615,3.0391156880191645
即使,2,0.0003446166570461183,6.466780744187684,3.030837259215318
多少,2,0.00043938623773380085,4.775766250749911,3.0106950391035556
朋友,2,0.00037907832275073015,7.618906083981657,3.010394535057861
也许,2,0.0003446166570461183,3.9291498213941867,3.004227225393762
说话,2,0.00027569332563689465,3.347714535692083,2.999815905964476
知道,2,0.0013181587132014025,5.77912664571102,2.9973465413328335
使人,2,0.0002498470763584358,3.036571796144039,2.9965869742841167
平日,2,0.00025846249278458874,5.96665517792594,2.9943282934778157
再说,2,0.00029292415848920057,3.1195265026864507,2.9888752824463305
觉得,2,0.0011200041353998846,4.378509123059576,2.9838924772913478
带着,2,0.00023261624350612986,3.1369503236471563,2.968391891541963
大家都,3,0.00018953916137536507,3.413761282805912,2.9650156932565066
一边,2,0.00042215540488149493,3.0189157780864133,2.964080864496865
只要,2,0.00027569332563689465,3.216642888396629,2.9295240128871245
不能再,3,0.000206769994227671,3.624562265978154,2.9252027641711082
等着,2,0.00031877040776765944,3.1806098187070506,2.9223625979436156
打算,2,0.0002240008270799769,4.447113379087948,2.9180575260797945
肚子,2,0.0002843087420630476,4.057108145481109,2.8998470574776527
两个,2,0.0004652324870122597,3.129766084822535,2.8976680950647626
进来,2,0.00027569332563689465,3.1179640141221534,2.8968210039018407
几乎,2,0.00045661707058610677,4.8171820606881655,2.889646811376556
他的心,3,0.00027569332563689465,3.0884133642620877,2.880469499409199
不肯,2,0.0005944637334045541,3.66588413554006,2.8681645181239883
